ts_code,symbol,name,area,industry,list_date,filter_time
000670.SZ,000670,盈方微,湖北,元器件,19961217,2025-01-09 19:14:53
000672.SZ,000672,上峰水泥,甘肃,水泥,19961218,2025-01-09 19:14:53
000676.SZ,000676,智度股份,广东,互联网,19961224,2025-01-09 19:14:53
000677.SZ,000677,恒天海龙,山东,化纤,19961226,2025-01-09 19:14:53
000678.SZ,000678,襄阳轴承,湖北,汽车配件,19970106,2025-01-09 19:14:53
000679.SZ,000679,大连友谊,辽宁,百货,19970124,2025-01-09 19:14:53
000688.SZ,000688,国城矿业,四川,铅锌,19970120,2025-01-09 19:14:53
000692.SZ,000692,惠天热电,辽宁,供气供热,19970227,2025-01-09 19:14:53
000695.SZ,000695,滨海能源,天津,广告包装,19970218,2025-01-09 19:14:53
000698.SZ,000698,沈阳化工,辽宁,石油加工,19970220,2025-01-09 19:14:53
000700.SZ,000700,模塑科技,江苏,汽车配件,19970228,2025-01-09 19:14:53
000701.SZ,000701,厦门信达,福建,商贸代理,19970226,2025-01-09 19:14:53
000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422,2025-01-09 19:14:53
000712.SZ,000712,锦龙股份,广东,证券,19970415,2025-01-09 19:14:53
000713.SZ,000713,丰乐种业,安徽,种植业,19970422,2025-01-09 19:14:53
000715.SZ,000715,中兴商业,辽宁,百货,19970508,2025-01-09 19:14:53
000716.SZ,000716,黑芝麻,广西,食品,19970418,2025-01-09 19:14:53
000719.SZ,000719,中原传媒,河南,出版业,19970331,2025-01-09 19:14:53
000720.SZ,000720,新能泰山,山东,电气设备,19970509,2025-01-09 19:14:53
000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430,2025-01-09 19:14:53
000723.SZ,000723,美锦能源,山西,焦炭加工,19970515,2025-01-09 19:14:53
000735.SZ,000735,罗牛山,海南,农业综合,19970611,2025-01-09 19:14:53
000736.SZ,000736,中交地产,重庆,全国地产,19970425,2025-01-09 19:14:53
000737.SZ,000737,北方铜业,山西,铜,19970428,2025-01-09 19:14:53
000753.SZ,000753,漳州发展,福建,综合类,19970626,2025-01-09 19:14:53
000755.SZ,000755,山西高速,山西,路桥,19970627,2025-01-09 19:14:53
000757.SZ,000757,浩物股份,四川,汽车服务,19970627,2025-01-09 19:14:53
000759.SZ,000759,中百集团,湖北,超市连锁,19970519,2025-01-09 19:14:53
000766.SZ,000766,通化金马,吉林,化学制药,19970430,2025-01-09 19:14:53
000779.SZ,000779,甘咨询,甘肃,建筑工程,19970528,2025-01-09 19:14:53
000790.SZ,000790,华神科技,四川,中成药,19980327,2025-01-09 19:14:53
000795.SZ,000795,英洛华,浙江,矿物制品,19970808,2025-01-09 19:14:53
000796.SZ,000796,凯撒旅业,海南,旅游服务,19970703,2025-01-09 19:14:53
000798.SZ,000798,中水渔业,北京,渔业,19980212,2025-01-09 19:14:53
000801.SZ,000801,四川九洲,四川,家用电器,19980506,2025-01-09 19:14:53
000802.SZ,000802,北京文化,北京,影视音像,19980108,2025-01-09 19:14:53
000803.SZ,000803,山高环能,四川,环境保护,19980303,2025-01-09 19:14:53
000810.SZ,000810,创维数字,四川,家用电器,19980602,2025-01-09 19:14:53
000811.SZ,000811,冰轮环境,山东,工程机械,19980528,2025-01-09 19:14:53
000812.SZ,000812,陕西金叶,陕西,广告包装,19980623,2025-01-09 19:14:53
000813.SZ,000813,德展健康,新疆,化学制药,19980519,2025-01-09 19:14:53
000815.SZ,000815,美利云,宁夏,造纸,19980609,2025-01-09 19:14:53
000818.SZ,000818,航锦科技,辽宁,化工原料,19971017,2025-01-09 19:14:53
000819.SZ,000819,岳阳兴长,湖南,石油加工,19970625,2025-01-09 19:14:53
000821.SZ,000821,京山轻机,湖北,电气设备,19980626,2025-01-09 19:14:53
000822.SZ,000822,山东海化,山东,化工原料,19980703,2025-01-09 19:14:53
000823.SZ,000823,超声电子,广东,元器件,19971008,2025-01-09 19:14:53
000829.SZ,000829,天音控股,江西,其他商业,19971202,2025-01-09 19:14:53
000833.SZ,000833,粤桂股份,广西,综合类,19981111,2025-01-09 19:14:53
000837.SZ,000837,秦川机床,陕西,机床制造,19980928,2025-01-09 19:14:53
000852.SZ,000852,石化机械,湖北,化工机械,19981126,2025-01-09 19:14:53
000859.SZ,000859,国风新材,安徽,塑料,19981119,2025-01-09 19:14:53
000863.SZ,000863,三湘印象,上海,区域地产,19970925,2025-01-09 19:14:53
000875.SZ,000875,吉电股份,吉林,火力发电,20020926,2025-01-09 19:14:53
000881.SZ,000881,中广核技,辽宁,化工原料,19980902,2025-01-09 19:14:53
000886.SZ,000886,海南高速,海南,区域地产,19980123,2025-01-09 19:14:53
000890.SZ,000890,法尔胜,江苏,环境保护,19990119,2025-01-09 19:14:53
000892.SZ,000892,欢瑞世纪,重庆,影视音像,19990115,2025-01-09 19:14:53
000893.SZ,000893,亚钾国际,广东,农药化肥,19981224,2025-01-09 19:14:53
000900.SZ,000900,现代投资,湖南,路桥,19990128,2025-01-09 19:14:53
000901.SZ,000901,航天科技,黑龙江,汽车配件,19990401,2025-01-09 19:14:53
000903.SZ,000903,云内动力,云南,汽车配件,19990415,2025-01-09 19:14:53
